epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,241.698,0.70684,6.58289,1.11587,0.99218,0.98551,0.99472,0.84692,0.58999,4.80574,1.09183,0.00125992,0.00125992,0.00125992
39,247.75,0.71116,6.82196,1.11299,0.99865,1,0.995,0.85912,0.57616,4.44921,1.06686,0.00124892,0.00124892,0.00124892
40,253.777,0.71236,6.70687,1.11718,0.97148,0.98745,0.99472,0.8452,0.61026,4.75198,1.12851,0.00123791,0.00123791,0.00123791
41,259.805,0.70755,6.64401,1.12143,1,0.99748,0.995,0.87169,0.58143,4.40064,1.09583,0.00122691,0.00122691,0.00122691
42,265.941,0.6978,6.33742,1.11219,0.92147,0.98551,0.98976,0.85473,0.58096,5.07301,1.07808,0.00121591,0.00121591,0.00121591
43,272.029,0.65248,6.09465,1.08662,0.99949,1,0.995,0.8274,0.60255,4.41103,1.11258,0.00120491,0.00120491,0.00120491
44,278.059,0.66307,6.15178,1.08629,0.99847,1,0.995,0.87291,0.51162,4.20339,1.03282,0.00119391,0.00119391,0.00119391
45,284.579,0.64668,6.13273,1.07365,0.99862,1,0.995,0.88942,0.50073,3.87835,1.02655,0.0011829,0.0011829,0.0011829
46,290.66,0.67856,6.15486,1.10387,0.99866,1,0.995,0.85967,0.57789,4.35492,1.16596,0.0011719,0.0011719,0.0011719
47,296.76,0.68152,6.42942,1.09707,1,0.99868,0.995,0.86846,0.54478,4.04949,1.04556,0.0011609,0.0011609,0.0011609
48,302.836,0.64285,5.8465,1.0813,1,0.99931,0.995,0.88206,0.51957,3.86652,1.04396,0.0011499,0.0011499,0.0011499
49,309.246,0.6685,5.82445,1.08718,0.99856,1,0.995,0.87015,0.52529,3.9436,1.03437,0.00113889,0.00113889,0.00113889
50,315.363,0.65136,5.89605,1.08483,0.97151,1,0.99106,0.86848,0.5528,4.1393,1.06822,0.00112789,0.00112789,0.00112789
51,321.458,0.6604,6.17878,1.06964,0.99623,0.98551,0.99472,0.868,0.54346,4.1578,1.04482,0.00111689,0.00111689,0.00111689
52,327.545,0.64405,5.99223,1.0737,0.99957,1,0.995,0.88208,0.54451,4.0226,1.06749,0.00110589,0.00110589,0.00110589
53,333.626,0.65047,5.8709,1.07008,0.99861,0.98551,0.98847,0.87097,0.54699,4.13178,1.04345,0.00109489,0.00109489,0.00109489
54,339.665,0.64218,5.6722,1.07461,0.95724,0.98551,0.99054,0.88747,0.51853,4.39816,1.03594,0.00108388,0.00108388,0.00108388
55,345.758,0.6516,5.8465,1.07757,0.98469,1,0.99486,0.88944,0.50791,4.13411,1.03224,0.00107288,0.00107288,0.00107288
56,351.909,0.63518,5.84355,1.0699,0.99921,0.98551,0.99432,0.87435,0.5123,3.94719,1.03466,0.00106188,0.00106188,0.00106188
57,357.981,0.64497,5.77226,1.06621,0.99662,0.98551,0.99472,0.88352,0.51556,3.66113,1.01368,0.00105088,0.00105088,0.00105088
58,364.043,0.6346,5.85508,1.06046,0.99976,1,0.995,0.86964,0.54817,3.9593,1.07762,0.00103987,0.00103987,0.00103987
59,370.089,0.64455,5.68625,1.07007,0.99754,0.98551,0.98747,0.88576,0.52948,4.33338,1.02478,0.00102887,0.00102887,0.00102887
60,376.162,0.63958,5.45366,1.06384,0.99745,0.98551,0.9876,0.88325,0.50557,4.15967,1.01332,0.00101787,0.00101787,0.00101787
61,382.221,0.62574,5.36848,1.05238,0.99802,0.98551,0.99472,0.87695,0.54079,4.12943,1.06992,0.00100687,0.00100687,0.00100687
62,388.297,0.59896,5.24594,1.04046,0.96338,0.98551,0.99391,0.90028,0.50234,4.05487,0.9975,0.000995866,0.000995866,0.000995866
63,394.387,0.63486,5.36292,1.06475,0.99854,0.98551,0.99458,0.88161,0.49665,3.63938,1.00146,0.000984864,0.000984864,0.000984864
64,400.627,0.61801,5.48176,1.05622,0.99601,0.98551,0.99258,0.87526,0.5157,4.19251,1.02071,0.000973861,0.000973861,0.000973861
65,406.692,0.60158,5.27816,1.03167,0.97106,0.98551,0.99204,0.88536,0.45701,4.09683,0.98341,0.000962859,0.000962859,0.000962859
66,412.741,0.61715,5.1262,1.0534,0.99926,1,0.995,0.89593,0.45653,3.49361,0.97127,0.000951857,0.000951857,0.000951857
67,418.789,0.59991,5.22232,1.0415,1,0.98538,0.985,0.87014,0.53067,4.27432,1.08034,0.000940855,0.000940855,0.000940855
68,424.859,0.59258,5.10266,1.04065,0.99895,0.98551,0.99226,0.86779,0.54918,4.27061,1.10172,0.000929853,0.000929853,0.000929853
69,430.939,0.59316,5.01601,1.04532,0.9989,0.98551,0.985,0.88587,0.48557,3.77018,0.98607,0.00091885,0.00091885,0.00091885
70,436.981,0.5876,4.9821,1.0385,0.99398,0.98551,0.985,0.88185,0.46706,4.21554,1.00421,0.000907848,0.000907848,0.000907848
71,443.037,0.61704,5.2884,1.05757,0.99826,0.98551,0.98838,0.87039,0.51174,4.13964,1.0289,0.000896846,0.000896846,0.000896846
72,449.09,0.6241,5.21697,1.06077,0.99805,0.98551,0.9908,0.89821,0.46001,4.09672,0.98284,0.000885844,0.000885844,0.000885844
73,455.206,0.61194,5.39227,1.04577,0.99458,0.98551,0.985,0.89155,0.44899,3.83825,0.98746,0.000874842,0.000874842,0.000874842
74,461.297,0.60326,5.04246,1.0494,0.97028,0.98551,0.98386,0.88523,0.47295,4.15469,0.99214,0.000863839,0.000863839,0.000863839
75,467.435,0.59349,4.97532,1.04229,0.99646,0.98551,0.98996,0.87983,0.46803,3.9666,0.98354,0.000852837,0.000852837,0.000852837
76,473.485,0.59261,5.20661,1.03762,0.99732,0.98551,0.99085,0.8898,0.43767,3.94941,0.96449,0.000841835,0.000841835,0.000841835
77,479.577,0.57713,4.91679,1.0434,0.98766,0.98551,0.99302,0.91193,0.43734,3.8997,0.96215,0.000830833,0.000830833,0.000830833
78,485.695,0.58874,4.98364,1.02856,0.96991,0.98551,0.99293,0.88209,0.48525,4.09241,1.01369,0.000819831,0.000819831,0.000819831
79,491.727,0.59781,5.22395,1.05354,0.99836,0.98551,0.9908,0.87689,0.49478,3.93676,1.02603,0.000808828,0.000808828,0.000808828
80,497.814,0.59911,5.24272,1.04324,0.99839,0.98551,0.98986,0.88172,0.46572,3.82229,1.01688,0.000797826,0.000797826,0.000797826
81,503.904,0.5812,4.909,1.0343,0.97128,0.98551,0.99363,0.89475,0.48776,4.64582,1.02184,0.000786824,0.000786824,0.000786824
82,509.978,0.57225,4.96844,1.03343,0.99884,0.98551,0.985,0.89054,0.45028,3.69488,0.97834,0.000775822,0.000775822,0.000775822
83,516.04,0.57955,5.09196,1.04385,0.99804,0.98551,0.985,0.88776,0.46336,4.08771,0.98356,0.00076482,0.00076482,0.00076482
84,522.106,0.55999,4.67703,1.02666,0.97036,0.98551,0.97786,0.87459,0.44927,4.23362,0.98219,0.000753817,0.000753817,0.000753817
85,528.205,0.56196,4.87651,1.02156,0.97128,0.98027,0.98919,0.90279,0.41837,3.72296,0.94338,0.000742815,0.000742815,0.000742815
86,534.29,0.55622,4.78517,1.01424,0.99759,0.98551,0.985,0.89864,0.43848,4.01752,0.9623,0.000731813,0.000731813,0.000731813
87,540.378,0.54241,4.54158,1.00426,0.99818,0.98551,0.9889,0.87964,0.46224,3.81028,0.99536,0.000720811,0.000720811,0.000720811
88,546.445,0.55198,4.84193,1.02859,0.99892,0.98551,0.98989,0.89704,0.4279,3.75857,0.96094,0.000709809,0.000709809,0.000709809
89,552.597,0.53716,4.60191,1.0086,0.9944,0.98551,0.99226,0.90491,0.44437,3.91799,0.96827,0.000698806,0.000698806,0.000698806
90,558.72,0.55017,4.41793,1.02438,0.99511,0.98551,0.985,0.90608,0.4413,3.86137,0.96091,0.000687804,0.000687804,0.000687804
91,564.809,0.55962,4.61419,1.01306,0.9691,0.98551,0.98157,0.87653,0.47649,4.29813,0.99012,0.000676802,0.000676802,0.000676802
92,570.91,0.53992,4.61602,1.00639,0.9955,0.98551,0.99458,0.89878,0.45048,3.58371,0.97617,0.0006658,0.0006658,0.0006658
93,577.048,0.56301,4.76159,1.01954,0.99907,0.98551,0.985,0.89105,0.4596,3.68594,0.98568,0.000654798,0.000654798,0.000654798
94,583.993,0.52931,4.48419,1.00688,0.99831,0.98551,0.985,0.88644,0.44493,3.92034,0.97649,0.000643795,0.000643795,0.000643795
95,590.155,0.53397,4.44851,1.00303,0.99871,0.98551,0.985,0.88361,0.46338,4.16741,0.99732,0.000632793,0.000632793,0.000632793
96,596.222,0.55712,4.6159,1.02771,0.9982,0.98551,0.985,0.86579,0.48225,4.65347,1.00723,0.000621791,0.000621791,0.000621791
97,602.282,0.54673,4.59206,1.03019,0.99839,0.98551,0.985,0.89693,0.42915,3.84862,0.98613,0.000610789,0.000610789,0.000610789
98,608.338,0.53162,4.51913,1.00817,0.99849,0.98551,0.985,0.89602,0.4421,4.09524,0.97697,0.000599787,0.000599787,0.000599787
99,614.482,0.5346,4.56428,1.01133,0.99902,0.98551,0.985,0.90733,0.42966,3.75249,0.98477,0.000588784,0.000588784,0.000588784
100,620.586,0.52028,4.29396,0.99931,0.9985,0.98551,0.985,0.88962,0.44873,4.21208,0.98526,0.000577782,0.000577782,0.000577782
101,626.684,0.52461,4.52969,1.0126,0.99276,0.98551,0.985,0.89285,0.42595,3.72835,0.98111,0.00056678,0.00056678,0.00056678
102,632.753,0.52702,4.32245,1.01332,1,0.98322,0.985,0.89196,0.45358,4.05593,0.99626,0.000555778,0.000555778,0.000555778
103,638.831,0.5326,4.47463,1.01756,0.98359,0.98551,0.97297,0.89416,0.44168,4.11882,0.97071,0.000544776,0.000544776,0.000544776
104,644.905,0.5182,4.27419,1.00257,0.99887,0.98551,0.99211,0.92063,0.4359,3.42657,0.9606,0.000533773,0.000533773,0.000533773
105,650.991,0.51801,4.35288,1.01039,0.99788,0.98551,0.99197,0.91526,0.42213,3.25393,0.9505,0.000522771,0.000522771,0.000522771
106,657.075,0.51781,4.3385,0.99457,0.99852,0.98551,0.99151,0.91342,0.40675,3.12513,0.94435,0.000511769,0.000511769,0.000511769
107,663.117,0.50569,4.31583,1.00363,0.99842,0.98551,0.985,0.89481,0.43606,3.46632,0.96919,0.000500767,0.000500767,0.000500767
108,669.22,0.52539,4.43831,1.00375,0.99713,0.98551,0.985,0.90097,0.42428,3.43998,0.9443,0.000489765,0.000489765,0.000489765
109,675.306,0.50937,4.05524,0.99835,0.99861,0.98551,0.985,0.90763,0.43596,3.63805,0.95015,0.000478762,0.000478762,0.000478762
110,681.447,0.52875,4.43077,1.01748,0.99841,0.98551,0.985,0.89776,0.43302,3.43723,0.9544,0.00046776,0.00046776,0.00046776
111,687.558,0.52297,4.2594,1.01329,1,0.984,0.985,0.90504,0.40064,3.36926,0.94435,0.000456758,0.000456758,0.000456758
112,693.605,0.50695,4.14282,1.00339,0.99852,0.98551,0.985,0.90387,0.40509,3.39387,0.95274,0.000445756,0.000445756,0.000445756
113,699.886,0.51744,4.38582,1.01197,0.99547,0.98551,0.985,0.91323,0.39317,3.37355,0.93163,0.000434754,0.000434754,0.000434754
114,705.99,0.48426,3.91069,0.98315,0.99868,0.98551,0.985,0.92418,0.37802,3.58188,0.9139,0.000423751,0.000423751,0.000423751
115,712.045,0.50925,4.17779,1.00609,0.99897,0.98551,0.985,0.91445,0.38779,3.33086,0.92693,0.000412749,0.000412749,0.000412749
116,718.086,0.49846,4.18201,0.99583,0.99912,0.98551,0.985,0.90925,0.39201,3.28045,0.93716,0.000401747,0.000401747,0.000401747
117,724.141,0.50302,4.12921,0.99727,0.99826,0.98551,0.99211,0.92287,0.39435,3.17791,0.92727,0.000390745,0.000390745,0.000390745
118,730.207,0.48431,3.93119,0.98588,0.99725,0.98551,0.99321,0.91336,0.40135,3.28708,0.92895,0.000379743,0.000379743,0.000379743
119,736.296,0.50675,4.16051,0.99839,0.99865,0.98551,0.99066,0.91829,0.40496,3.3834,0.93221,0.00036874,0.00036874,0.00036874
120,742.384,0.48231,3.95839,0.99386,0.99868,0.98551,0.985,0.90334,0.40707,3.38074,0.93403,0.000357738,0.000357738,0.000357738
121,748.447,0.4889,4.13022,0.9952,0.99794,0.98551,0.985,0.91954,0.38079,3.41979,0.92609,0.000346736,0.000346736,0.000346736
122,754.544,0.48688,3.90354,0.98522,0.99901,0.98551,0.985,0.90437,0.40447,3.30183,0.93128,0.000335734,0.000335734,0.000335734
123,760.607,0.47173,3.83945,0.97755,0.99899,0.98551,0.99183,0.92783,0.39468,3.08938,0.93225,0.000324732,0.000324732,0.000324732
124,766.718,0.47836,3.8545,0.98228,0.99853,0.98551,0.99331,0.92413,0.3816,3.12933,0.9229,0.000313729,0.000313729,0.000313729
125,772.802,0.48361,3.96227,0.98074,0.99835,0.98551,0.9925,0.93126,0.35937,3.01065,0.91072,0.000302727,0.000302727,0.000302727
126,778.914,0.48597,3.97812,0.99112,0.99784,0.98551,0.985,0.91993,0.38111,3.31234,0.92017,0.000291725,0.000291725,0.000291725
127,784.991,0.48285,3.92853,0.98631,0.99857,0.98551,0.985,0.91455,0.38273,3.27248,0.91734,0.000280723,0.000280723,0.000280723
128,791.216,0.47141,3.81722,0.97715,0.99901,0.98551,0.985,0.91152,0.41191,3.19949,0.94201,0.000269721,0.000269721,0.000269721
129,797.395,0.47175,3.73679,0.97462,0.99878,0.98551,0.985,0.90531,0.4047,3.29039,0.94467,0.000258718,0.000258718,0.000258718
130,803.554,0.46202,3.83886,0.97459,0.99858,0.98551,0.985,0.92461,0.39046,3.23961,0.93228,0.000247716,0.000247716,0.000247716
131,809.697,0.46099,3.57605,0.97173,0.99803,0.98551,0.985,0.9249,0.37943,3.12097,0.92517,0.000236714,0.000236714,0.000236714
132,815.869,0.46184,3.73484,0.97227,0.99827,0.98551,0.985,0.92822,0.35794,3.12079,0.91915,0.000225712,0.000225712,0.000225712
133,822,0.45084,3.76205,0.96997,0.99846,0.98551,0.985,0.92117,0.36147,3.35593,0.91395,0.00021471,0.00021471,0.00021471
134,828.077,0.46031,3.64677,0.96746,0.99865,0.98551,0.985,0.92249,0.37489,3.41799,0.92909,0.000203707,0.000203707,0.000203707
135,834.141,0.46062,3.83598,0.97912,0.99866,0.98551,0.985,0.91941,0.3765,3.48464,0.92567,0.000192705,0.000192705,0.000192705
136,840.201,0.43288,3.60915,0.96079,0.99857,0.98551,0.985,0.91487,0.37871,3.31362,0.92352,0.000181703,0.000181703,0.000181703
137,846.28,0.45722,3.76423,0.97974,0.99867,0.98551,0.985,0.91462,0.3769,3.25683,0.92053,0.000170701,0.000170701,0.000170701
138,852.421,0.45136,3.63382,0.97521,0.99902,0.98551,0.985,0.92609,0.36993,3.07853,0.91001,0.000159699,0.000159699,0.000159699
139,858.54,0.43993,3.5732,0.95939,0.99902,0.98551,0.985,0.90189,0.38354,3.12524,0.92069,0.000148696,0.000148696,0.000148696
140,864.684,0.43847,3.62901,0.97484,0.9989,0.98551,0.985,0.91379,0.39183,3.06725,0.92369,0.000137694,0.000137694,0.000137694
141,889.453,0.40519,2.93308,0.93804,0.99848,0.98551,0.985,0.92479,0.37268,3.12809,0.91785,0.000126692,0.000126692,0.000126692
142,895.469,0.40031,2.91085,0.92992,0.99797,0.98551,0.985,0.91987,0.37172,3.14123,0.91722,0.00011569,0.00011569,0.00011569
143,901.649,0.39208,2.80791,0.93939,0.99654,0.98551,0.985,0.92217,0.36397,3.05777,0.91485,0.000104688,0.000104688,0.000104688
144,907.639,0.38802,2.80317,0.92851,0.99606,0.98551,0.985,0.9212,0.35853,3.111,0.90898,9.36854e-05,9.36854e-05,9.36854e-05
145,913.72,0.38714,2.76732,0.93776,0.99529,0.98551,0.985,0.91957,0.35624,3.05841,0.90772,8.26832e-05,8.26832e-05,8.26832e-05
146,919.786,0.38021,2.70791,0.92508,0.99618,0.98551,0.985,0.92221,0.36431,3.04658,0.91515,7.1681e-05,7.1681e-05,7.1681e-05
147,925.787,0.39046,2.7477,0.92678,0.99717,0.98551,0.985,0.92096,0.36187,3.01121,0.91103,6.06788e-05,6.06788e-05,6.06788e-05
148,931.915,0.37766,2.74077,0.9156,0.99779,0.98551,0.985,0.92176,0.3513,3.03498,0.90216,4.96766e-05,4.96766e-05,4.96766e-05
149,937.977,0.37692,2.66099,0.93458,0.99841,0.98551,0.985,0.92194,0.35173,2.9669,0.9043,3.86744e-05,3.86744e-05,3.86744e-05
150,944.055,0.37524,2.63337,0.90735,0.99864,0.98551,0.985,0.92783,0.35073,2.9527,0.90232,2.76722e-05,2.76722e-05,2.76722e-05
