epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.0561,0.76614,22.7249,1.18002,0.96252,0.74442,0.91665,0.67765,0.83925,16.5981,1.57064,0.000548972,0.000548972,0.000548972
2,23.1838,0.87513,17.0012,1.23301,0.72635,0.71014,0.80405,0.41501,1.4524,21.3702,2.27786,0.00109735,0.00109735,0.00109735
3,29.1731,0.93421,15.013,1.26341,0.8887,0.86957,0.92798,0.57149,1.06221,14.8632,1.69923,0.00163839,0.00163839,0.00163839
4,35.1955,0.96427,14.2487,1.28633,0.94254,0.95103,0.95371,0.65073,1.08054,14.0646,1.67307,0.00163399,0.00163399,0.00163399
5,41.4588,0.92067,12.7678,1.23847,0.94317,0.84058,0.94037,0.60459,1.02602,12.5303,1.54067,0.00162299,0.00162299,0.00162299
6,47.4201,0.94398,12.6194,1.26785,0.93099,0.98551,0.96691,0.73307,0.90191,9.78611,1.43614,0.00161199,0.00161199,0.00161199
7,53.8726,0.91851,11.0471,1.24494,0.98423,0.90479,0.9876,0.70911,1.05906,7.84876,1.69502,0.00160099,0.00160099,0.00160099
8,59.8353,0.92144,11.2014,1.2556,0.94465,0.98935,0.98558,0.80034,0.73254,7.73562,1.26482,0.00158998,0.00158998,0.00158998
9,65.8518,0.85944,10.405,1.21392,1,0.99667,0.995,0.77898,0.78338,6.66906,1.31591,0.00157898,0.00157898,0.00157898
10,71.8693,0.87912,9.90466,1.21481,0.98669,1,0.995,0.79906,0.72482,6.06872,1.21882,0.00156798,0.00156798,0.00156798
11,77.8852,0.83317,9.43761,1.20191,0.94197,1,0.98869,0.79963,0.77905,6.89493,1.24854,0.00155698,0.00155698,0.00155698
12,83.9074,0.86652,9.99979,1.21328,1,0.98272,0.99472,0.81622,0.70082,5.9576,1.16632,0.00154598,0.00154598,0.00154598
13,89.9302,0.87452,9.31444,1.20351,0.97926,0.97101,0.99274,0.80424,0.69689,6.8333,1.18629,0.00153497,0.00153497,0.00153497
14,95.9428,0.83855,9.10301,1.18654,0.98319,1,0.993,0.82382,0.64615,5.46393,1.16333,0.00152397,0.00152397,0.00152397
15,101.973,0.80321,8.6791,1.17583,0.99396,0.98551,0.99486,0.82304,0.69004,6.32732,1.20296,0.00151297,0.00151297,0.00151297
16,107.992,0.81224,8.19467,1.17254,0.9718,0.99901,0.99253,0.82569,0.70114,5.95923,1.27463,0.00150197,0.00150197,0.00150197
17,114.044,0.77237,8.56861,1.14905,0.9935,0.98551,0.99458,0.81984,0.6404,5.77272,1.16436,0.00149096,0.00149096,0.00149096
18,120.36,0.73274,8.08477,1.1203,0.96813,0.98551,0.98638,0.79752,0.67037,6.09774,1.23852,0.00147996,0.00147996,0.00147996
19,126.462,0.75229,7.86656,1.14431,0.96596,1,0.99444,0.81277,0.64791,5.51353,1.1694,0.00146896,0.00146896,0.00146896
20,132.477,0.78417,8.08967,1.1457,1,0.96793,0.99274,0.82749,0.66694,5.54726,1.16928,0.00145796,0.00145796,0.00145796
21,138.534,0.74431,7.76596,1.1309,0.99833,1,0.995,0.82266,0.6458,5.39726,1.12711,0.00144696,0.00144696,0.00144696
22,144.558,0.73875,7.59777,1.11859,0.9965,1,0.995,0.84331,0.59088,5.1976,1.08397,0.00143595,0.00143595,0.00143595
23,150.604,0.75864,7.89506,1.1385,0.99464,0.98551,0.99445,0.84092,0.62435,4.79355,1.15153,0.00142495,0.00142495,0.00142495
24,156.64,0.75473,7.81907,1.13771,0.99732,1,0.995,0.84109,0.56507,5.10938,1.10085,0.00141395,0.00141395,0.00141395
25,162.698,0.71378,7.07043,1.1038,0.95315,0.97101,0.98903,0.81456,0.67019,5.51433,1.12711,0.00140295,0.00140295,0.00140295
26,168.836,0.71,7.10815,1.10263,0.99793,0.98551,0.99341,0.86063,0.59234,4.73924,1.08786,0.00139195,0.00139195,0.00139195
27,174.862,0.72415,7.27816,1.13172,0.99683,0.98551,0.99352,0.82855,0.65858,5.48958,1.15617,0.00138094,0.00138094,0.00138094
28,180.855,0.73538,7.31431,1.13151,0.97179,0.99835,0.99341,0.8461,0.57159,5.1655,1.08657,0.00136994,0.00136994,0.00136994
29,186.897,0.7424,7.49145,1.13366,0.99575,0.98551,0.99458,0.85408,0.6366,5.03535,1.16111,0.00135894,0.00135894,0.00135894
30,193.203,0.758,7.24369,1.13667,0.98043,0.98551,0.99353,0.8509,0.58822,4.92765,1.09299,0.00134794,0.00134794,0.00134794
31,199.291,0.75471,7.36205,1.1449,0.99506,1,0.995,0.85654,0.57819,4.7514,1.09583,0.00133693,0.00133693,0.00133693
32,205.391,0.69021,7.07084,1.1036,0.99799,1,0.995,0.84289,0.59605,4.69701,1.09585,0.00132593,0.00132593,0.00132593
33,211.426,0.71597,7.36548,1.128,0.9567,1,0.99417,0.8705,0.55499,5.23062,1.05777,0.00131493,0.00131493,0.00131493
34,217.516,0.69475,6.74984,1.12005,0.93121,1,0.98874,0.84832,0.62063,5.77223,1.10704,0.00130393,0.00130393,0.00130393
35,223.551,0.68439,6.54981,1.11355,0.98568,0.99782,0.99357,0.83497,0.65924,4.85837,1.1643,0.00129293,0.00129293,0.00129293
36,229.59,0.70397,6.56151,1.10441,1,0.99784,0.995,0.84313,0.57766,4.53246,1.08796,0.00128192,0.00128192,0.00128192
37,235.635,0.73287,6.7637,1.12363,0.99874,1,0.995,0.87361,0.57889,4.22919,1.07259,0.00127092,0.00127092,0.00127092
